,content,tokens_final,cluster,action_cluster
0,"덕분에 운동 많이 됐습니다 주말에 LG 가습기 하이드로타워, 정수기 오브제정수기 견적 받았는데 6년구독 달마다 6만원 나오던데 복합식 말고 가열식 가습기, 정수기는 고온살균 정도면 괜찮을 거 같은데 추천해주실 모델 있으실까요","['덕분', '운동', '주말', '가습기', '하이드', '타워', '정수기', '오브제', '정수기', '견적', '구독', '나오다', '복합', '말', '가열', '가습기', '정수기', '고온', '살균', '괜찮다', '추천', '모델']",1,2
1,세탁기 Fx24gng FX24gn 이있는데 뭔차일가요..,"['세탁기', '차이']",1,1
2,Gn은 22년 모델 gng는 23년 모델인데 큰 차이는 없습니다,"['모델', '모델', '크다', '차이']",1,2
3,업체가 진짜 엄청 많아서 사실 잘 모릅니다.. 그래서 판매자가 판매하는 다른 상품들 보고 리뷰가 있는지 봅니다 그리고 모델명이 다른데 스펙이 동일한 상품들이 있습니다 저도 최근에 전모델을 비교하면서 알게된건데 채널간 구분을 위해 구분해놓았다고 하더라구요,"['업체', '많다', '판매자', '판매', '상품', '리뷰', '모델명', '스펙', '동일', '상품', '최근', '모델', '비교', '채널', '구분', '위하다', '구분']",1,2
4,영상 잘봤습니다~인터넷으로 검색한 모델명을 오프라인 매장에 보여주면 구매 가능한가요? 진열되지 않은 제품이라 구매 어렵다고 하고 비슷한 다른 제품 판매 권유하겠죠오?...,"['영상', '인터넷', '검색', '모델명', '오프라인', '매장', '보이다', '구매', '가능', '진열', '제품', '구매', '제품', '판매', '권유']",1,2
5,홈플러스에 파는 제품이 모두 홈플러스 전용모델은 아닙니다 끽해봤자 제품별 1개 2개일꺼에요 나머지는 공용모델입니다 그리고 채널 전용 모델은 뭐가하나 빠지고 가격을 내리는 형태가 많아서 공식홈페이지에서 뭐가빠진건지 확인 후 불필요한 기능이라면 오히려 좋겠죠~!,"['홈플러스', '파', '제품', '홈플러스', '전용', '모델', '제품', '나머지', '공용', '모델', '채널', '전용', '모델', '빠지다', '가격', '내리다', '형태', '많다', '공식', '홈페이지', '빠지다', '확인', '필요', '기능', '좋다']",1,2
6,헉... 너무 케이스가 많아서 확답은 못드릴 것 같아요 정말 궁금한게 23년 모델을 온라인에서 구매하지 못할까요? 오프보다 분명 더 쌀 거 같아요,"['케이스', '많다', '확답', '드리다', '궁금하다', '모델', '온라인', '구매', '오프', '싸다']",1,2
7,이게 공용도 있고 전용도 있어서 모델마다 다른데 삼성은 직영점에서 모두 구매는 가능한데 다른 채널 전용 모델이면 정책이 안들어가있어서 매력도가 없어요 ㅜ 그래도 각 채널에서 미는 제품들 비교는 해볼 필요는 있어요!,"['공용', '전용', '모델', '다르다', '삼성', '직영점', '구매', '가능', '채널', '전용', '모델', '정책', '들어가다', '매력', '채널', '제품', '비교', '필요']",1,2
8,"알고보니 모델명이 좀 다르네요.. 쿠팡 RS84B5041CW ,846리터,2등급 삼성매장 RS84B5080CE, 845리터.1등급 이러면 뭔가 하나 더 추가된걸까요?","['모델명', '다르다', '쿠팡', '등급', '삼성', '매장', '등급', '이러다', '추가']",1,2
9,-d6v 등급차이 / UV 탈취기 여부 / 슬림 아이스메이커 여부 차이네요 등급차이는 큰 요소는 아니나 UV탈취기가 최상위 스펙은 아닌데 없는것보단 나을 것 같아요 슬림아이스메이커는 얼음을 적게 만들어서 별루긴하구요 저라면 UV탈취기 때문이라도 투자를 더 할 것 같아요~!,"['등급', '차이', '탈취', '여부', '슬림', '아이스', '메이커', '여부', '차이', '등급', '차이', '크다', '요소', '탈취', '상위', '스펙', '슬림', '아이스', '메이커', '얼음', '적다', '만들다', '탈취', '투자']",1,2
10,흠.. 그런말은 하지는 않긴 했는데 우선 A/S는 제조사의 책임이기 때문에 당연히 동일하게 해줘야합니다. 아이폰도 중국에서 생산되는데 최고의 품질로 유명하죠? 생산지는 이제 크게 문제가 되는 것 같지는 않습니다.,"['제조사', '책임', '동일', '아이폰', '중국', '생산', '최고', '품질', '유명', '생산지', '크다', '문제']",1,1
11,"""인터넷에서 샀는데 괜찮은거죠?"" 일 하면서 가장 많이 들은 말중 하나에요 ㅎㅎ 이 영상이 답이네요 영상 항상 잘 보고있습니다^^/","['인터넷', '사다', '괜찮다', '영상', '영상']",1,1
12,구독해주셔서 고맙습니다! 로봇청소기... 추천합니다... 그냥 추천 말고 강력추천! 진짜 편하고 좋습니다,"['구독', '로봇', '청소기', '추천', '추천', '말', '추천', '편하다', '좋다']",1,2
13,"고민 해결에 도움되셨다니 다행입니다ㅎㅎ 정수기 정량급수 잘 활용하시면 여러모로 편하게 사용하실겁니다. 짜파게티 2개 끓일 때, 85도 550미리 세팅하시면 물 안버리고 빠르게 끓일 수 있다는...생활의 꿀팁 전달드립니다...","['고민', '해결', '도움', '다행', '정수기', '정량', '급수', '활용', '편하다', '짜파게티', '끓이다', '세팅', '버리다', '빠르다', '끓이다', '생활', '전달', '드리다']",1,2
14,너무 잘봤습니다 감사합니다 세탁기건조기 보고있는데요! W20wd 189만원 FX24ENE-GNG 167만원 둘중에 사야한다면 어떤거를 추천하시는지 알려주실수 있으세요? 공부는 많이했는데 돈이 걸려있어서 선뜻 선택 못하겠어요 이번에 사면 10년 쓰고싶어요,"['감사', '세탁기', '건조기', '사다', '추천', '알리다', '공부', '걸리다', '선택', '사다', '쓰다']",1,1
15,​ 가성비 물건이 아니면 호구 물건인데.. 그걸 할인받아 사봣자 무슨 의미가 있죠? 성능은 떨어지고 할인받아봣자 가성비제품과 가격 또이또이인데,"['가성비', '물건', '호구', '물건', '할인', '사다', '의미', '성능', '떨어지다', '할인', '가성비', '제품', '가격', '또이또']",1,1
16,아 속상하셨겠네요. 생각보다 많은 분들이 제품은 잘 모르고 구매하시는 경우가 많더라고요. 좋은 분 만나서 기분 좋게 구매하셨으면 좋겠습니다. 부족한 부분이 있다면 제 채널에서 제품에 대해 자세히 설명드릴 수 있도록 할게요!🤗,"['속상하다', '생각', '많다', '제품', '구매', '많다', '좋다', '만나다', '기분', '좋다', '구매', '좋다', '부족', '채널', '제품', '대하다', '설명', '드리다']",1,2
17,며칠전 부모님 통돌이세탁기 주문했는데요 예전 용량하고 차이가 있다고 하셔서 예전 10키로 사용했었는데 16키로 주문했는데 13키로나 16키로나 19키로나 용량은 똑같고 파워차이만 있다는데 맞나요?,"['며칠', '부모', '통돌이', '세탁기', '주문', '예전', '용량', '차이', '예전', '주문', '용량', '똑같다', '파워', '차이', '맞다']",1,1
18,23년식 올레드83인치 G4 전시3000시간 정도 40프로 할인하는데 구매해도 될까요,"['올레', '전시', '시간', '할인', '구매']",1,1
19,안녕하세요 식세기 아무것도 모르고 집이 좁아 아이출산하면서 처음 6인용 sk를 작은 아일랜드위에 두고 썼는데 12인용이나14인용으로 하부에두고 쓰는 것으로 바꾸고 싶은데 어떤모델 좋을까요?,"['안녕', '세기', '것', '아이', '출산', '작다', '아일랜드', '두다', '쓰다', '하부', '두다', '쓰다', '바꾸다', '모델', '좋다']",1,3
20,안녕하세요~ 원하시는 스펙과 색상에 따라 추천모델이 달라지겠지만 현재 저희쪽에서 가장 잘 나가는 모델은 DUBJ4ES입니다🙂,"['안녕', '스펙', '색상', '따르다', '추천', '모델', '다르다', '나가다', '모델']",1,2
21,에어컨 고장나서 초비상 입니다ㅜ 지금 당장 사야하는데 2in1 추천 좀,"['에어컨', '고장', '비상', '당장', '사다', '추천']",1,3
22,청소기를 사는데 어느고객은 스팀되는물걸레 모델 사고싶어하지만 어느분은 스팀되지않고 물걸레 되면 좋겠다 하는분도 계실지 않을까요? 그차이에 가격이 20~30이라면? 그런 백화점은 최상위 버전만 볼수 있는데 그게 좋은가요? 원하는기능 스펙이 더 중요하다고봅니다 무조건 스펙으로가면 시그니처 모델가야죠,"['청소기', '사다', '고객', '스팀', '물걸레', '모델', '사다', '스팀', '물걸레', '좋다', '계시다', '차이', '가격', '백화점', '상위', '버전', '좋다', '원하다', '기능', '스펙', '중요', '스펙', '시그니처', '모델']",1,2
23,콤보세탁기나 원바디세탁기 고민중입니다 겨울이불빨래와 옷의수축이덜되는제품알려주세요,"['콤보', '세탁기', '바디', '세탁기', '고민', '겨울', '이불', '빨래', '수축', '제품', '알리다']",1,1
24,그냥 최신제품 말고 이월제품 사면됨.. 그리고 해외직구 되면 더좋고,"['최신', '제품', '말', '이월', '제품', '사다', '해외', '직구', '좋다']",1,1
25,문의합니다 기존 삼성세탁기가 통돌이 10킬로용량인데요 고장 12킬로 구입을 하려고 하는데요 가벼운 이불빨래도 하려고 합니다 차이가 날까요 아니면. 그대로 10킬로 구입할까요,"['문의', '기존', '삼성', '세탁기', '용량', '고장', '구입', '이불', '빨래', '차이', '구입']",1,3
26,2주전에 로드샵에서 계약서 쓰고 카드 결제 하고 다음달에 물건 받기로 했는데 이 영상을 조금더 일찍 봤으면 좋았을골 싶네요 ㅠㅠ 영상감사합니다..,"['로드', '계약서', '쓰다', '카드', '결제', '다음', '물건', '영상', '좋다', '영상', '감사']",1,1
27,"​ -IT제품리뷰 티비는 있어요! ㅎㅎ 티비는 그대로 가져가서 지금처럼 벽걸이할지 스탠바이미 살지 고민되고... 혹시 가전 구매시점은 지금일지, 내년2월일지 조언 해주실 수 있을까요!? 노고가 많으십니다...😢😢","['제품', '리뷰', '티비', '티비', '가져가다', '지금', '벽걸이', '스탠 바이 미', '사다', '고민', '가전', '구매', '시점', '지금', '내년', '조언', '노', '많다']",1,3
28,맨파워 출신이신가요~! 반가워요 맞아요 예전에는 온라인 전용모델이 저가형을 했는데 요새는 상위 모델도 온라인전용으로 내놓아서 현장에 곡소리가 난다고 하더라구요,"['파워', '출신', '맞다', '예전', '온라인', '전용', '모델', '저가', '요새', '상위', '모델', '온라인', '전용', '내놓다', '현장', '곡소리']",1,2
29,쿠쿠는 6년 쓰면 폐기해야됨. 6년쓴 쿠쿠 3구 인덕션 한쪽이 고장나 as 신청하니 2달 걸려 기사님 오셔서 구형(6년됨)이라 맞는 부품 없어 전체 다 바꿔야하니 50만원 넘게든다네요 ( 새거 가격임) AS 받을려고 2달 기다렸는데... 6년 쓰고 폐기하실분은 쿠쿠 사세요,"['쿠쿠', '쓰다', '폐기', '쓰다', '쿠쿠', '구', '인덕션', '고장', '신청', '걸리다', '기사', '구형', '맞다', '부품', '전체', '바꾸다', '넘다', '들다', '가격', '기다리다', '쓰다', '폐기', '쿠쿠', '사다']",1,1
30,전자가 요새 공홈을 키워서 매장에서 곡소리가 나온다고 합니다 슬프지만 어쩌겠습니까 싼 곳 가야지,"['전자', '키우다', '매장', '곡소리', '나오다', '슬프다', '어쩌다', '싸다']",1,1
31,로드샵 직원들이 이 영상을 싫어합니다 ㅎㅎ 좋은 정보 감사,"['로드', '직원', '영상', '싫다', '좋다', '정보', '감사']",1,1
32,모델명이 같다는 전제하에 창고에 있는 제품은 본인이 어떤 경로를 통해 나갈지 모르고 있다가 판매되면 그때서야 알게됩니다 즉 채널이 다르다고 품질에 대한 차이는 없습니다. 반면에 모델명이 다른 모델도 분명 있습니다 그러나 일부입니다. 가장 많이 판매되는 메인 모델은 여러채널이 동일 모델은 운영합니다.,"['모델명', '전제', '창고', '제품', '본인', '경로', '통하다', '판매', '그때', '채널', '다르다', '품질', '대하다', '차이', '반면', '모델명', '모델', '일부', '판매', '메인', '모델', '채널', '동일', '모델', '운영']",1,2
33,넵 채널별 고객은 확실히 성향이 다르기 때문에 스펙을 일부 제거하고 모델명을 바꿔 전용 모델을 운영하기도 합니다. 보통 그런 모델들이 주력 모델이죠 그러나 이게 나쁜건 절대 아니에요 불필요한 스펙을 붙여서 가격을 높이는 것 보단 좋은 선택이라고 생각합니다. 그래서 저는 공식 홈페이지에서 비교하기 기능을 통해 차이가 뭐가 있는건지 나에게 필요한건지 확인 후 구매하는것을 추천드립니다.,"['채널', '고객', '성향', '다르다', '스펙', '일부', '제거', '모델명', '바꾸다', '전용', '모델', '운영', '모델', '주력', '모델', '나쁘다', '필요', '스펙', '붙이다', '가격', '높이', '좋다', '선택', '생각', '공식', '홈페이지', '비교', '기능', '통하다', '차이', '필요', '확인', '구매', '추천', '드리다']",1,2
34,노트북도 적용되는 얘기일까요? 윈도우나 기타 기본적으로 깔아야할것들을 적용하면 매장가가 더 나은것 같기도하고.. 도움 부탁드립니다~,"['노트북', '적용', '얘기', '윈도우', '기타', '기본', '깔다', '적용', '매장', '도움', '부탁', '드리다']",1,2
35,영상 시청해주셔서 감사합니다 이에대한 답변으로 하가 영상을 제작해봤습니다 가전제품을 온라인(쿠팡)에서 구매해도 될까? 결론부터 말하면 모델명이 같으면 완전히 같은 모델이구요 각 채널별 전용모델은 있을 수도 있습니다 그리고 전용모델이라고 해서 절대 안좋은 모델은 아닙니다 참고해주새요~!,"['영상', '시청', '감사', '대하다', '답변', '영상', '제작', '가전제품', '온라인', '쿠팡', '구매', '결론', '모델명', '모델', '채널', '전용', '모델', '전용', '모델', '좋다', '모델', '참고', '새']",1,2
36,혼수할때 일렉트로마트가서 건조기한대 공짜로했었는데ㅋㄱ 상품권받아서,"['혼수', '트다', '마트', '건조기', '공짜', '상품']",1,1
37,"할인되는 상풍은 마트나 백화점에 따로 주문애서 성능이 다운되는 제품이 많음. 그냥 난 오래 좋은 제품쓰시고 싶으면 그냥 할인없이 제값에 사는 게, 오래동안 좋은 성능으로 쓰실수있숩니다.","['할인', '마트', '백화점', '주문', '성능', '다운', '제품', '많다', '좋다', '제품', '쓰다', '할인', '제값', '사다', '오래', '동안', '좋다', '성능', '쓰다']",1,1
